number,rootCoordinate,artifact,mergeTime,internalNodes,externalNodes,internalEdges,externalEdges,resolvedNodes,resolvedEdges,dependencies
15,io.arrow-kt:arrow-test:0.8.2,org.jetbrains.kotlin:kotlin-stdlib:1.3.11,347,6572,271,77880,3032,3235,22542,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
16,io.arrow-kt:arrow-test:0.8.2,org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11,0,0,0,0,0,0,0,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
17,io.arrow-kt:arrow-test:0.8.2,org.jetbrains:annotations:13.0,0,23,1,0,1,0,0,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
18,io.arrow-kt:arrow-test:0.8.2,org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0,130,2581,168,6862,1941,2058,4081,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
19,io.arrow-kt:arrow-test:0.8.2,org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0,0,0,0,0,0,0,0,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
20,io.arrow-kt:arrow-test:0.8.2,io.kotlintest:kotlintest:2.0.7,2419,2549,91,4057,1000,1166,27475,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
21,io.arrow-kt:arrow-test:0.8.2,junit:junit:4.12,204,1627,158,2497,648,2034,9048,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
22,io.arrow-kt:arrow-test:0.8.2,org.hamcrest:hamcrest-core:1.3,87,275,20,495,62,2253,2253,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
23,io.arrow-kt:arrow-test:0.8.2,org.jetbrains.kotlin:kotlin-reflect:1.1.51,956,9999,407,47245,6211,3358,67426,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
24,io.arrow-kt:arrow-test:0.8.2,org.mockito:mockito-core:2.7.11,618,2319,207,4399,1009,3193,16043,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
25,io.arrow-kt:arrow-test:0.8.2,net.bytebuddy:byte-buddy:1.6.5,8725,12313,325,103187,5124,3264,642349,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
26,io.arrow-kt:arrow-test:0.8.2,net.bytebuddy:byte-buddy-agent:1.6.5,49,106,35,67,79,875,875,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
27,io.arrow-kt:arrow-test:0.8.2,org.objenesis:objenesis:2.5,121,132,32,168,90,3,3,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
28,io.arrow-kt:arrow-test:0.8.2,org.reflections:reflections:0.9.11,84,605,103,949,347,1171,1241,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;com.google.guava:guava:20.0;org.javassist:javassist:3.21.0-GA
29,io.arrow-kt:arrow-test:0.8.2,com.google.guava:guava:20.0,1395,13956,542,106090,3223,3744,122908,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;org.javassist:javassist:3.21.0-GA
30,io.arrow-kt:arrow-test:0.8.2,org.javassist:javassist:3.21.0-GA,242,3892,191,10801,1111,2078,6444,io.arrow-kt:arrow-test:0.8.2;io.arrow-kt:arrow-data:0.8.2;io.arrow-kt:arrow-annotations:0.8.2;io.kindedj:kindedj:1.1.0;io.arrow-kt:arrow-typeclasses:0.8.2;io.arrow-kt:arrow-core:0.8.2;io.arrow-kt:arrow-optics:0.8.2;io.arrow-kt:arrow-effects:0.8.2;io.arrow-kt:arrow-mtl:0.8.2;io.arrow-kt:arrow-free:0.8.2;io.arrow-kt:arrow-instances-core:0.8.2;io.arrow-kt:arrow-instances-data:0.8.2;io.arrow-kt:arrow-effects-instances:0.8.2;io.arrow-kt:arrow-recursion:0.8.2;org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.3.11;org.jetbrains.kotlin:kotlin-stdlib:1.3.11;org.jetbrains.kotlin:kotlin-stdlib-common:1.3.11;org.jetbrains:annotations:13.0;org.jetbrains.kotlinx:kotlinx-coroutines-core:1.1.0;org.jetbrains.kotlinx:kotlinx-coroutines-core-common:1.1.0;io.kotlintest:kotlintest:2.0.7;junit:junit:4.12;org.hamcrest:hamcrest-core:1.3;org.jetbrains.kotlin:kotlin-reflect:1.1.51;org.mockito:mockito-core:2.7.11;net.bytebuddy:byte-buddy:1.6.5;net.bytebuddy:byte-buddy-agent:1.6.5;org.objenesis:objenesis:2.5;org.reflections:reflections:0.9.11;com.google.guava:guava:20.0
